Algorithm,Reward,Steps,Episodes,Mean Reward,Std
DQN,Aggressive,long,3328,33.95,28.12
DQN,Aggressive,medium,1390,13.32,13.31
DQN,Aggressive,short,210,2.68,7.15
DQN,Baseline,long,2997,19.42,17.84
DQN,Baseline,medium,1537,0.70,5.75
DQN,Baseline,short,207,-3.79,2.87
DQN,Survival,long,2714,-8.77,6.09
DQN,Survival,medium,1295,-11.68,3.52
DQN,Survival,short,225,-13.74,0.84
PPO,Aggressive,long,3065,38.74,30.61
PPO,Aggressive,medium,1535,14.37,15.12
PPO,Aggressive,short,262,1.02,5.29
PPO,Baseline,long,2952,21.96,16.92
PPO,Baseline,medium,1468,4.08,8.19
PPO,Baseline,short,268,-3.88,1.51
PPO,Survival,long,3225,-8.80,6.61
PPO,Survival,medium,1506,-13.39,1.29
PPO,Survival,short,248,-13.77,0.67
SAC,Aggressive,long,3978,1.49,4.96
SAC,Aggressive,medium,2161,2.23,5.71
SAC,Aggressive,short,257,-1.13,2.68
SAC,Baseline,long,7714,-5.02,1.75
SAC,Baseline,medium,2246,-3.90,2.83
SAC,Baseline,short,258,-4.74,2.26
SAC,Survival,long,6906,-13.73,0.81
SAC,Survival,medium,2229,-13.54,0.94
SAC,Survival,short,216,-13.26,1.00
